title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
Tuning the Human Biofield: Healing with Vibrational Sound Therapy,,print,owned,,2025-10-25,,1,amazon-print,
Schuman resonance. : The mysterious harmony of the Earth,Justyna Pelc,ebook,borrowed,,2025-10-25,,2,kindle-library; kindle-unlimited,
Shot Ready (Unabridged),,,wishlist,,2025-10-16,,1,audible-wishlist,
"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and ",,,wishlist,,2025-10-10,,1,audible-wishlist,
The Unusual Suspects with Kenya Barris and Malcolm Gladwell,"Kenya Barris,Malcolm Gladwell",audiobook,owned,,2025-10-04,,1,audible,
"The Alchemist: A Modern Classic Fable of Spiritual Healing, Self-Discovery, an",Paulo Coelho,ebook,borrowed,,2025-09-28,,2,kindle-library; kindle-unlimited,
Gestalt Principles for Creatives : Mastering Visual Harmony Through Perception,Steve Velli,ebook,borrowed,,2025-09-14,,2,kindle-library; kindle-unlimited,
A Different Kind of Power,Jacinda Ardern,audiobook,owned,,2025-09-13,,1,audible-shared,
When Everyone Knows That Everyone Knows . . .: Common Knowledge and the Myster,,,wishlist,,2025-09-05,,1,audible-wishlist,
How to Solve It,George Polya,ebook+library,borrowed,,2025-08-18,2025-08-19,3,kindle-library; libby; library-via-kindle,
Polyvagal Theory and Exercises 2 in 1: A Complete Guide to Nervous System Heal,,ebook,owned,,2025-08-16,,2,kindle; kindle-library,
Ways of Being,James Bridle,library,borrowed,,2025-08-15,,1,libby,
The Last Wilderness (Unabridged),,,wishlist,,2025-08-14,,1,audible-wishlist,
"Landscape Dreams, A New Mexico Portrait",,print,owned,,2025-08-08,,1,amazon-print,
Tao Te Ching,,ebook,owned,,2025-07-24,,2,kindle; kindle-library,
So Good They Can't Ignore You,Cal Newport,ebook+library,borrowed,,2025-07-21,2026-06-05,3,kindle-library; kindle-unlimited; libby,
"The Curve of Time: New, Expanded Edition",,ebook,owned,,2025-07-21,,2,kindle; kindle-library,
The Grieving Brain: The Surprising Science of How We Learn from Love and Loss ,Mary-Frances O'Connor,ebook,borrowed,,2025-07-21,,2,kindle-library; kindle-unlimited,
The Art of Thinking in Graphs: Illustrating the 52 Principles That Shape Our P,Dolev Erez,ebook,borrowed,,2025-07-21,,2,kindle-library; kindle-unlimited,
The Age of Agentic AI: A Practical & Exciting Exploration of AI Agents,One Book Ahead Publishing,ebook,borrowed,,2025-07-21,,2,kindle-library; kindle-unlimited,
Fisherman's Bend,Linda Greenlaw,audiobook,owned,,2025-07-17,,1,audible-shared,
Your Brain on Art: How the Arts Transform Us,,ebook,owned,,2025-07-10,,2,kindle; kindle-library,
Introduction to Cognitive Science,"Thad A. Polk,The Great Courses",audiobook,finished,100,2025-06-10,2025-10-04,2,audible; audible-wishlist,
